dt,MA Rp (jt)
2008-01-01,37434.0
2009-01-01,42159.5
2010-01-01,152359.33333333334
2011-01-01,149352.0
2012-01-01,127180.0
2013-01-01,142126.2
2014-01-01,182154.6
2015-01-01,110228.8
2016-01-01,129511.2
2017-01-01,129803.6
2018-01-01,121585.4
2019-01-01,81479.6
2020-01-01,178364.4
2021-01-01,201082.0
2022-01-01,219030.6
2023-01-01,229139.6
2024-01-01,279535.0
2025-01-01,229515.0
2026-01-01,179140.2
