kode_kemendagri,nama_clean,tahun,lat,lon,jumlah_banjir,jumlah_kejadian_bnpb,rasio_banjir_per_hujan,total_hujan_tahunan_mm,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,rain_intensity_mm_per_hour_avg,avg_kelembaban_tanah,et0_fao_evapotranspiration_mm_avg,jumlah_sampah_ton_per_tahun,cluster_id_raw,skor_kerentanan,cluster_label,cluster_color,pca_1,pca_2
3203,KABUPATEN CIANJUR,2016,-6.8226,107.1394,7,5.0,0.0021322611106034,3282.9,351,2,88.5,0.840137127845617,0.394790250484077,3.25079035347918,360461.34,1,0.36992070450514086,Sedang,#FDBB84,-1.6322335642268435,-0.5955780630822843
3203,KABUPATEN CIANJUR,2017,-6.8226,107.1394,5,3.0,0.0026248097012966,1904.9,328,2,54.4,0.555010342050082,0.395619926341953,3.70567191500256,364065.95,0,-0.2344190302166125,Rendah,#FEE8C8,0.8349070213876162,-0.0827483749749205
3203,KABUPATEN CIANJUR,2018,-6.8226,107.1394,4,4.0,0.0022310223659992,1792.9,299,1,105.8,0.569976118076722,0.393190011627411,3.90346607782898,131567.9,0,-0.30398657154699465,Rendah,#FEE8C8,1.2589307192952262,-0.12277026902019432
3203,KABUPATEN CIANJUR,2019,-6.8226,107.1394,3,1.0,0.0014396084265079,2083.9,287,2,78.0,0.555630732761466,0.374932476211811,4.18223931131592,256580.4,0,-0.4775932311586976,Rendah,#FEE8C8,1.7791540926095966,-0.4101541569600804
3203,KABUPATEN CIANJUR,2020,-6.8226,107.1394,4,3.0,0.0011762976032936,3400.5,334,10,109.1,0.717602606760451,0.416075353659416,3.57810545668026,252842.8,1,0.41783375672249917,Sedang,#FDBB84,-1.5727040827654644,-1.0588991681787725
3203,KABUPATEN CIANJUR,2021,-6.8226,107.1394,8,5.0,0.0020863759649488,3834.4,330,15,100.8,0.835746556311173,0.425093222499573,3.5591661546339,81687.0,1,0.728709200757807,Sedang,#FDBB84,-2.6953079386102625,-0.7014591957426404
3203,KABUPATEN CIANJUR,2022,-6.8226,107.1394,12,9.0,0.0042152592384431,2846.8,336,8,79.2,0.815314645586987,0.431374447164619,3.63297452636969,166885.3,1,0.5118946234476585,Sedang,#FDBB84,-1.6754032329054944,0.5602097652594946
3203,KABUPATEN CIANJUR,2023,-6.8226,107.1394,11,5.0,0.0060376529996157,1821.9,301,3,63.1,0.571667039178626,0.372923852726575,4.17848399897593,178455.8,0,-0.23476894032745446,Rendah,#FEE8C8,1.3212743811711878,1.1968332098068237
3204,KABUPATEN BANDUNG,2015,-7.0225,107.5286,11,9.0,0.0035393674185141,3107.9,314,2,66.1,0.746542428246405,0.368839320916539,3.67882693292371,1156523.0,1,0.35357940098450685,Sedang,#FDBB84,-0.5238344011965174,0.7312656277244349
3204,KABUPATEN BANDUNG,2016,-7.0225,107.5286,45,23.0,0.0095181691272896,4727.8,364,2,66.8,1.02861857905145,0.445699121323075,3.07584995674206,1166002.7,2,1.7489947119532803,Tinggi,#E34A33,-4.936868897317143,4.158381648047136
3204,KABUPATEN BANDUNG,2017,-7.0225,107.5286,30,10.0,0.0196463654223968,1527.0,274,3,76.4,0.53771907395575,0.273630354209336,3.58495628520225,1177662.73,2,0.5528467286836246,Tinggi,#E34A33,0.746244264806442,5.195215520865417
3204,KABUPATEN BANDUNG,2018,-7.0225,107.5286,19,9.0,0.0152512441804463,1245.8,272,2,59.2,0.43560578774648,0.247654424816522,3.85238767281106,464528.2,2,-0.1235000252245527,Tinggi,#E34A33,2.129814259949733,3.880737388455552
3204,KABUPATEN BANDUNG,2019,-7.0225,107.5286,18,8.0,0.0147504711956076,1220.3,256,1,54.3,0.41719592587182,0.238729868844939,4.08952137736815,243476.9,2,-0.37181233357001153,Tinggi,#E34A33,2.8254512306792683,3.7776431387445446
