kode_kemendagri,nama_clean,nama_singkat,tipe,lat,lon,bps_kode,tahun,jumlah_banjir,total_hujan_tahunan_mm,rain_sum_mm,precipitation_hours_total,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,avg_kelembaban_tanah,rain_intensity_mm_per_hour_avg,jumlah_kejadian_bnpb,korban_meninggal,korban_hilang,korban_luka,pengungsi,rusak_berat,rusak_sedang,rusak_ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak,satuan,is_sampah_missing,rasio_banjir_per_hujan,kategori_hujan,rank_banjir_di_wilayah,total_terdampak,jumlah_sampah_ton_per_tahun,is_banjir,kategori_intensitas_banjir
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2013,17,3618,3618,3583,343,3,165.2,60.1,3.38547830261137,0.452040532727428,0.86312729753605,4,2,0,1,1453,23,22,283,0,0,0,0,0,0,,TRUE,0.0046987285793255,Tinggi (2500-4000mm),7,1456,,1,4 - Frekuensi Tinggi (>10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2014,5,2863.1,2863.1,3213,338,1,93.1,47.2,3.50925582437276,0.444732542082693,0.739851911447911,8,1,5,1,1067,43,30,0,641,0,2,0,0,0,,TRUE,0.0017463588418148,Tinggi (2500-4000mm),12,1074,,1,3 - Frekuensi Sedang (4-10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2015,6,2687.3,2687.3,2807,297,4,97.7,48.6,3.76821812596006,0.399477077466291,0.704388026382256,5,0,0,1,1167,43,0,6,108,3,5,0,0,0,TON PER HARI,FALSE,0.0022327242957615,Tinggi (2500-4000mm),11,1168,205690.23,1,3 - Frekuensi Sedang (4-10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2016,19,4169.8,4169.8,3973,355,3,76.9,50.8,3.25210051291559,0.469574888894039,0.96228095774007,8,1,1,4,2983,167,510,1622,1148,2,0,0,0,0,TON PER HARI,FALSE,0.0045565734567605,Sangat Tinggi (>4000mm),6,2989,207785.29,1,4 - Frekuensi Tinggi (>10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2017,19,2666.1,2666.1,3383,355,2,80,77,3.22296601382489,0.460736351926523,0.652138736177083,6,1,0,1,483,6,12,41,68,0,0,0,0,0,TON PER HARI,FALSE,0.0071265143843066,Tinggi (2500-4000mm),6,485,209863.15,1,4 - Frekuensi Tinggi (>10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2018,3,2731.4,2731.4,3173,335,4,92.7,65.2,3.41263965693804,0.450476257680492,0.671100405007979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TON PER HARI,FALSE,0.0010983378487222,Tinggi (2500-4000mm),13,0,75266.65,1,2 - Frekuensi Rendah (1-3x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2019,10,2450.5,2450.5,3065,323,1,78.2,54.4,3.76709184587814,0.413297815593531,0.607776257149755,5,0,0,0,191,9,5,20,33,0,0,0,0,4,TON PER HARI,FALSE,0.004080799836768,Sedang (1500-2500mm),9,191,267420.9,1,3 - Frekuensi Sedang (4-10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2020,13,4264.8,4264.8,4116,357,9,144.8,64.1,3.25292825361513,0.4811881544051,0.884906302259336,7,3,0,20,1942,88,37,207,453,0,1,0,0,10,TON PER HARI,FALSE,0.0030482085912586,Sangat Tinggi (>4000mm),8,1965,268026.8,1,4 - Frekuensi Tinggi (>10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2021,27,3331.7,3331.7,3771,352,6,104.6,57.2,3.35858960573477,0.475502607633555,0.765685653998334,17,0,0,4,513,5,3,0,217,3,1,0,0,2,TON PER HARI,FALSE,0.0081039709457634,Tinggi (2500-4000mm),2,517,95338,1,4 - Frekuensi Tinggi (>10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2022,30,3393,3393,3461,355,4,115.5,50,3.32358877368152,0.476610217720601,0.859894278004194,18,0,0,0,2762,21,21,71,676,0,1,0,0,0,TON PER HARI,FALSE,0.008841732979664,Tinggi (2500-4000mm),1,2762,128312.1,1,4 - Frekuensi Tinggi (>10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2023,7,2151.9,2151.9,2998,325,2,62.1,49.3,3.7119075140809,0.428569694593787,0.584523743551417,3,0,0,0,180,0,0,0,47,0,0,0,0,0,TON PER HARI,FALSE,0.0032529392629769,Sedang (1500-2500mm),10,180,12775,1,3 - Frekuensi Sedang (4-10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2024,24,3302.8,3302.8,3369,342,4,78.6,48.2,3.6017741008528,0.453507597304618,0.830260324511799,9,2,0,10352,25621,215,353,459,1464,0,0,0,0,0,,TRUE,0.0072665617052198,Tinggi (2500-4000mm),3,35975,,1,4 - Frekuensi Tinggi (>10x)
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2025,23,3364.3,3364.3,3582,352,2,52.7,60.5,3.48766429851511,0.453121582714627,0.831415469333226,9,2,0,1,8583,202,693,732,1205,0,13,1,0,5,,TRUE,0.0068364890170317,Tinggi (2500-4000mm),4,8586,,1,4 - Frekuensi Tinggi (>10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2012,1,2326.6,2326.6,2626,284,1,51.1,58.7,3.64110811395378,0.33198756050962,0.706418984788338,6,3,1,0,120,0,0,24,24,0,0,0,0,0,,TRUE,0.0004298117424568,Sedang (1500-2500mm),10,124,,1,2 - Frekuensi Rendah (1-3x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2013,21,2912.7,2912.7,3222,323,3,194.7,52.6,3.39799750384025,0.368391990687404,0.76706360801313,1,2,2,4,1305,64,1,20,0,0,0,0,0,0,,TRUE,0.0072098053352559,Tinggi (2500-4000mm),1,1313,,1,4 - Frekuensi Tinggi (>10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2014,2,2419.7,2419.7,2811,314,2,111.9,43.2,3.54425608038915,0.35178548120413,0.69600691357832,3,0,0,0,6,3,0,25,2,0,0,0,0,0,,TRUE,0.0008265487457122,Sedang (1500-2500mm),9,6,,1,2 - Frekuensi Rendah (1-3x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2015,3,2048.9,2048.9,2293,252,0,37.8,49,3.85276664106503,0.303586557539683,0.661068384877365,1,0,0,0,4,0,0,0,1,0,0,0,0,0,TON PER HARI,FALSE,0.0014642003026013,Sedang (1500-2500mm),8,4,355554.29,1,2 - Frekuensi Rendah (1-3x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2016,7,3282.9,3282.9,3515,351,2,88.5,47.2,3.25079035347918,0.394790250484077,0.840137127845617,5,2,0,0,1518,315,0,63,44,5,11,0,0,0,TON PER HARI,FALSE,0.0021322611106034,Tinggi (2500-4000mm),5,1520,360461.34,1,3 - Frekuensi Sedang (4-10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2017,5,1904.9,1904.9,2432,328,2,54.4,57.6,3.70567191500256,0.395619926341953,0.555010342050082,3,2,1,2,162,5,0,4,8,0,0,0,0,0,TON PER HARI,FALSE,0.0026248097012966,Sedang (1500-2500mm),6,167,364065.95,1,3 - Frekuensi Sedang (4-10x)
