kode_kemendagri,nama_clean,tahun,bulan,precipitation_sum_mm,rain_sum_mm,precipitation_hours_total,rainy_days,heavy_rain_days_50mm,max_daily_precipitation_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,soil_moisture_0_to_7cm_avg,rain_intensity_mm_per_hour_avg
3201,KABUPATEN BOGOR,2015,2,343.2,343.2,336.0,26,0,35.7,39.6,3.264642857142857,0.4731875,0.9420901025987057
3201,KABUPATEN BOGOR,2015,3,315.2,315.2,355.0,31,0,24.5,46.8,3.2625806451612904,0.4706801075268817,0.8557474439904782
3201,KABUPATEN BOGOR,2015,4,317.3,317.3,302.0,29,0,24.5,51.1,3.258666666666667,0.47380277777777774,1.0918899715428754
3201,KABUPATEN BOGOR,2015,5,107.5,107.5,146.0,22,0,17.2,31.0,3.7519354838709678,0.45194354838709677,0.6064069264069262
3201,KABUPATEN BOGOR,2015,6,58.699999999999996,58.699999999999996,103.0,19,0,14.5,40.0,3.7246666666666663,0.40437222222222224,0.4356056808688388
3201,KABUPATEN BOGOR,2015,7,26.4,26.4,86.0,17,0,8.9,42.1,4.12258064516129,0.30065860215053763,0.26678592649180877
3201,KABUPATEN BOGOR,2015,8,39.2,39.2,139.0,23,0,7.4,40.0,4.434516129032258,0.3326827956989247,0.23427212584418183
3201,KABUPATEN BOGOR,2015,9,103.10000000000001,103.10000000000001,98.0,16,1,52.2,41.8,4.835333333333334,0.30907222222222225,0.5513410894660894
3201,KABUPATEN BOGOR,2015,10,66.5,66.5,103.0,18,0,21.3,37.4,4.913870967741936,0.38044354838709676,0.44943121693121696
3201,KABUPATEN BOGOR,2015,11,312.8,312.8,298.0,30,0,23.2,34.6,3.9196666666666666,0.4623916666666667,1.1323832580674684
3201,KABUPATEN BOGOR,2015,12,389.0,389.0,384.0,30,0,49.6,45.7,3.2267741935483873,0.46513844086021505,0.8855491330564857
3201,KABUPATEN BOGOR,2016,1,366.3,366.3,354.0,31,0,37.7,39.2,3.3761290322580644,0.47501881720430106,1.0103361809301585
3201,KABUPATEN BOGOR,2016,2,478.5,478.5,431.0,29,0,46.5,39.6,2.925172413793103,0.4776436781609195,1.163439009846994
3201,KABUPATEN BOGOR,2016,3,400.9,400.9,383.0,31,0,47.6,38.9,3.3496774193548386,0.4757768817204301,0.9950102660414257
3201,KABUPATEN BOGOR,2016,4,381.8,381.8,307.0,30,1,53.1,34.2,3.339,0.47427916666666664,1.2867470631220632
3201,KABUPATEN BOGOR,2016,5,253.6,253.6,276.0,31,0,44.5,32.8,3.0316129032258066,0.476625,0.8097466886025235
3201,KABUPATEN BOGOR,2016,6,136.4,136.4,181.0,30,0,17.1,36.0,3.167333333333333,0.46710555555555555,0.7166679894179893
3201,KABUPATEN BOGOR,2016,7,174.9,174.9,214.0,30,0,40.3,27.7,3.359677419354839,0.46711693548387095,0.7221796536796536
3201,KABUPATEN BOGOR,2016,8,172.1,172.1,219.0,27,1,57.9,29.5,3.7138709677419355,0.4504610215053763,0.5808548241881576
3201,KABUPATEN BOGOR,2016,9,278.4,278.4,291.0,30,0,27.9,42.1,3.5320000000000005,0.4759,0.9796137103637104
3201,KABUPATEN BOGOR,2016,10,515.8,515.8,368.0,30,2,79.9,36.0,3.23,0.4764959677419355,1.3291349434878845
3201,KABUPATEN BOGOR,2016,11,482.1,482.1,375.0,30,0,33.1,34.9,3.3243333333333336,0.47527777777777774,1.350265661342068
3201,KABUPATEN BOGOR,2016,12,220.1,220.1,291.0,31,0,26.5,53.6,3.1432258064516128,0.46490860215053764,0.6999127440659697
3201,KABUPATEN BOGOR,2017,1,233.9,233.9,292.0,31,0,45.2,45.0,3.1861290322580644,0.4900013440860215,0.6729227448179063
3201,KABUPATEN BOGOR,2017,2,339.7,339.7,365.0,28,0,26.5,55.8,2.8217857142857143,0.49759970238095236,1.025377036304032
3201,KABUPATEN BOGOR,2017,3,257.8,257.8,255.0,31,0,37.6,38.5,3.637741935483871,0.4773306451612903,0.9999338006501198
3201,KABUPATEN BOGOR,2017,4,275.2,275.2,238.0,30,0,48.2,36.0,3.462,0.48756388888888885,1.2388135709606296
3201,KABUPATEN BOGOR,2017,5,159.9,159.9,152.0,27,0,28.9,34.6,3.479032258064516,0.4275645161290323,0.8907943085720866
3201,KABUPATEN BOGOR,2017,6,100.4,100.4,127.0,25,0,19.0,40.0,3.3706666666666667,0.3804180555555555,0.654931746031746
3201,KABUPATEN BOGOR,2017,7,41.0,41.0,123.0,28,0,9.7,38.9,3.709032258064516,0.34224731182795703,0.2899461451247166
3201,KABUPATEN BOGOR,2017,8,31.7,31.7,103.0,23,0,3.8,47.9,4.6325806451612905,0.27103897849462366,0.2927329192546584
3201,KABUPATEN BOGOR,2017,9,102.0,102.0,131.0,23,0,34.2,47.9,4.654,0.31424583333333334,0.5453734827264238
3201,KABUPATEN BOGOR,2017,10,187.7,187.7,211.0,31,0,27.9,39.6,3.8783870967741936,0.44286290322580646,0.73213047073104
3201,KABUPATEN BOGOR,2017,11,190.9,190.9,199.0,30,0,25.7,51.5,3.585,0.42049027777777775,0.8763640832851358
3201,KABUPATEN BOGOR,2017,12,182.60000000000002,182.60000000000002,215.0,28,0,35.6,49.0,3.5841935483870966,0.44939650537634407,0.7273162056197772
3201,KABUPATEN BOGOR,2018,1,186.7,186.7,311.0,31,0,19.2,53.6,3.2280645161290322,0.4698225806451613,0.5165615049253819
3201,KABUPATEN BOGOR,2018,2,286.3,286.3,331.0,28,0,31.1,41.0,3.0160714285714287,0.4960327380952381,0.9124018966560985
3201,KABUPATEN BOGOR,2018,3,287.0,287.0,219.0,30,1,55.1,40.0,3.705806451612903,0.4810631720430108,1.0743397065897067
3201,KABUPATEN BOGOR,2018,4,174.5,174.5,205.0,29,0,25.3,39.6,3.4613333333333336,0.4813013888888889,0.8532777280191072
3201,KABUPATEN BOGOR,2018,5,84.0,84.0,111.0,25,0,16.5,32.8,3.6306451612903223,0.4047782258064516,0.739804761904762
3201,KABUPATEN BOGOR,2018,6,90.2,90.2,168.0,26,0,20.6,38.5,3.566666666666667,0.38600138888888885,0.39092274492726986
3201,KABUPATEN BOGOR,2018,7,18.7,18.7,82.0,21,0,4.2,38.9,4.228387096774194,0.3104139784946237,0.2036451247165533
3201,KABUPATEN BOGOR,2018,8,42.4,42.4,139.0,24,0,5.0,52.2,4.77258064516129,0.29348924731182796,0.2803830544455545
3201,KABUPATEN BOGOR,2018,9,55.0,55.0,107.0,23,0,9.0,59.4,4.9816666666666665,0.31676944444444444,0.41539164941338863
3201,KABUPATEN BOGOR,2018,10,146.3,146.3,226.0,27,0,39.4,46.8,4.567096774193549,0.3657916666666667,0.6175236594681038
3201,KABUPATEN BOGOR,2018,11,282.9,282.9,314.0,29,0,30.6,38.5,3.630666666666667,0.47365277777777776,0.8862219558669865
3201,KABUPATEN BOGOR,2018,12,158.3,158.3,237.0,27,0,37.0,43.2,3.80741935483871,0.4665255376344086,0.562463909297527
3201,KABUPATEN BOGOR,2019,1,327.3,327.3,392.0,30,0,29.5,41.8,3.1761290322580646,0.4871760752688172,0.8272222825334282
3201,KABUPATEN BOGOR,2019,2,412.9,412.9,298.0,28,2,127.3,36.4,3.5853571428571427,0.495828869047619,1.113041637247464
3201,KABUPATEN BOGOR,2019,3,250.29999999999998,250.29999999999998,279.0,30,0,42.4,38.2,3.5422580645161292,0.4897163978494624,0.8430904594600247
3201,KABUPATEN BOGOR,2019,4,271.1,271.1,313.0,30,0,31.4,36.7,3.5623333333333336,0.4916291666666667,0.8018211325711324
3201,KABUPATEN BOGOR,2019,5,93.7,93.7,214.0,31,0,11.1,29.5,3.6825806451612904,0.4513548387096774,0.3602395722557011
3201,KABUPATEN BOGOR,2019,6,30.099999999999998,30.099999999999998,106.0,22,0,6.6,33.1,3.9366666666666665,0.34193472222222226,0.1945621802439984
3201,KABUPATEN BOGOR,2019,7,23.7,23.7,84.0,15,0,3.7,46.1,4.345806451612903,0.29184946236559145,0.26116666666666666
3201,KABUPATEN BOGOR,2019,8,84.7,84.7,95.0,20,1,50.0,49.3,4.6496774193548385,0.29603763440860215,0.48357142857142865
