kode_kemendagri,nama_clean,tipe,tahun,jumlah_kejadian_bnpb,Meninggal,Hilang,luka_sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3214,KABUPATEN PURWAKARTA,KAB,2021,3.0,0,0,0,300,0,0,0,150,0,1,0,0,0
3214,KABUPATEN PURWAKARTA,KAB,2022,3.0,0,0,0,414,0,0,0,73,0,0,0,0,0
3214,KABUPATEN PURWAKARTA,KAB,2024,1.0,0,0,0,810,0,0,0,184,0,0,0,0,0
3214,KABUPATEN PURWAKARTA,KAB,2025,2.0,0,0,0,1842,0,1,0,232,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2008,2.0,0,0,9445,8758,0,0,0,7886,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2009,3.0,4,0,2,198370,121,0,17,32734,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2010,12.0,2,0,24558,203419,6,0,0,66530,28,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2011,1.0,0,0,0,0,0,0,25,100,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2013,2.0,0,0,0,1086,0,0,0,1741,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2014,8.0,0,0,0,233034,1,0,0,22692,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2016,9.0,0,0,0,105831,4,0,10,18805,2,11,0,0,0
3215,KABUPATEN KARAWANG,KAB,2017,4.0,0,0,0,2653,0,0,0,736,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2018,3.0,0,0,0,10475,0,0,0,3023,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2019,3.0,0,0,0,931,0,0,0,248,2,3,0,0,0
3215,KABUPATEN KARAWANG,KAB,2020,8.0,0,0,0,176060,83,53,45,33098,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2021,20.0,1,0,0,139541,83,66,73,45405,15,42,0,0,0
3215,KABUPATEN KARAWANG,KAB,2022,15.0,0,0,0,22299,0,0,0,7556,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2023,11.0,0,0,0,241784,7,8,46,56787,33,62,0,0,0
3215,KABUPATEN KARAWANG,KAB,2024,19.0,0,0,0,38387,14,12,112,12765,0,0,0,0,0
3215,KABUPATEN KARAWANG,KAB,2025,21.0,0,0,0,74337,5,7,440,19363,0,0,0,0,3
3215,KABUPATEN KARAWANG,KAB,2026,5.0,0,0,0,44475,0,0,0,8349,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2008,1.5,0,0,0,172335,45,0,17,12235,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2009,4.0,0,0,0,9175,0,0,0,1743,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2010,6.0,0,0,0,51290,718,0,868,12231,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2011,2.0,0,0,0,0,0,0,25,200,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2013,4.0,2,0,0,700,0,0,0,6315,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2014,1.0,0,0,0,700,0,0,0,1050,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2015,1.0,0,0,0,5213,0,0,0,0,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2016,1.0,0,0,0,12267,0,0,0,730,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2017,1.0,2,0,5,2900,0,0,0,0,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2018,6.0,0,0,0,20765,0,0,0,1800,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2019,8.0,0,0,0,7515,0,0,0,978,1,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2020,15.7,1,1,0,103683,1,1,2,13178,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2021,10.0,8,0,266,261950,52,0,45,36653,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2022,10.0,0,0,0,29990,0,0,0,6781,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2023,6.0,0,0,0,45177,0,0,0,11227,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2024,11.0,0,0,0,47254,0,0,0,11870,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2025,14.0,0,0,2,181511,0,0,0,40527,0,0,0,0,0
3216,KABUPATEN BEKASI,KAB,2026,5.0,1,0,0,414085,0,0,0,54439,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2010,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2013,1.0,1,0,1,0,3,10,207,0,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2014,2.0,1,0,0,13,3,13,2,0,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2017,1.0,0,0,0,208,0,0,0,135,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2018,1.0,0,0,0,0,0,0,0,2,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2019,4.0,0,0,0,752,9,0,10,55,0,1,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2020,5.0,0,0,0,1056,8,1,0,221,1,0,0,0,3
3217,KABUPATEN BANDUNG BARAT,KAB,2021,7.0,0,0,0,289,1,2,0,107,1,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2022,2.0,1,0,0,61,0,0,10,3,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2023,1.0,0,0,0,130,1,3,1,22,0,0,0,0,0
3217,KABUPATEN BANDUNG BARAT,KAB,2024,3.0,0,0,36,2941,132,36,104,45,3,5,0,0,3
3217,KABUPATEN BANDUNG BARAT,KAB,2025,4.0,1,0,0,4369,30,1,14,973,0,0,0,0,1
3218,KABUPATEN PANGANDARAN,KAB,2014,6.0,0,0,0,5137,11,33,14,2900,2,1,0,0,0
3218,KABUPATEN PANGANDARAN,KAB,2016,6.0,2,0,3,29090,38,1406,72,3237,8,12,3,1,0
3218,KABUPATEN PANGANDARAN,KAB,2017,5.0,0,0,0,3650,2,0,0,680,0,0,0,0,0
3218,KABUPATEN PANGANDARAN,KAB,2018,5.0,1,0,0,12638,0,0,0,1163,1,0,0,0,0
3218,KABUPATEN PANGANDARAN,KAB,2020,7.0,2,0,0,3616,0,0,0,1032,0,0,0,0,0
3218,KABUPATEN PANGANDARAN,KAB,2021,1.0,0,0,0,0,0,0,0,15,0,0,0,0,0
3218,KABUPATEN PANGANDARAN,KAB,2022,3.0,0,0,0,6162,0,0,0,2087,0,0,0,0,1
3218,KABUPATEN PANGANDARAN,KAB,2023,1.0,0,0,0,1706,0,0,0,621,0,0,0,0,0
3218,KABUPATEN PANGANDARAN,KAB,2024,1.0,0,0,0,763,0,0,0,263,0,0,0,0,0
3218,KABUPATEN PANGANDARAN,KAB,2025,4.0,0,0,0,5619,0,0,0,2216,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2009,1.0,0,0,0,0,0,0,0,20,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2010,1.0,0,0,0,0,0,0,0,24,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2011,1.0,0,0,0,210,0,0,100,0,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2013,1.0,0,0,0,0,0,8,0,358,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2014,2.0,0,0,0,183,0,0,0,57,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2015,2.0,0,0,0,8,0,0,0,2,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2016,1.0,0,0,0,328,1,0,0,65,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2017,6.0,3,0,2,2027,2,5,0,497,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2018,6.0,0,0,4,1554,1,4,10,373,0,1,0,0,0
3271,KOTA BOGOR,KOTA,2019,5.0,0,0,1,581,0,0,0,78,0,1,0,0,0
3271,KOTA BOGOR,KOTA,2020,6.2,1,0,0,122,0,3,1,158,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2021,6.0,0,0,0,956,2,11,1,464,1,0,0,0,0
3271,KOTA BOGOR,KOTA,2022,7.0,7,0,2,457,1,0,2,63,0,1,0,0,0
3271,KOTA BOGOR,KOTA,2023,3.0,0,0,0,232,0,0,0,49,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2024,5.0,0,0,0,1002,4,0,0,271,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2025,2.0,0,0,0,142,0,1,0,33,0,0,0,0,0
3271,KOTA BOGOR,KOTA,2026,2.0,0,0,0,99,0,0,0,30,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2008,1.0,8,0,5,0,0,0,0,0,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2013,1.0,0,0,0,15,0,0,0,0,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2014,2.0,0,0,0,0,0,0,0,51,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2016,4.0,0,0,0,9,0,0,0,84,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2019,1.0,0,0,0,0,0,0,0,7,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2021,2.0,0,0,0,0,0,0,0,9,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2022,1.0,1,0,2,11780,96,205,765,0,0,0,0,0,0
3272,KOTA SUKABUMI,KOTA,2024,3.0,0,0,0,2174,0,0,0,1024,1,0,0,0,0
3273,KOTA BANDUNG,KOTA,2010,5.0,1,0,0,420,15,0,8,265,0,0,0,0,0
3273,KOTA BANDUNG,KOTA,2011,1.0,0,0,0,0,0,0,12,0,0,0,0,0,0
3273,KOTA BANDUNG,KOTA,2012,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3273,KOTA BANDUNG,KOTA,2014,2.0,0,0,2,2,4,5,0,0,0,0,0,0,0
3273,KOTA BANDUNG,KOTA,2016,2.0,1,0,0,0,0,1,0,978,1,0,0,0,0
3273,KOTA BANDUNG,KOTA,2018,4.0,0,0,0,1442,1,2,0,251,0,1,0,0,0
3273,KOTA BANDUNG,KOTA,2019,1.0,0,0,0,1650,0,0,0,123,1,0,0,0,0
3273,KOTA BANDUNG,KOTA,2020,6.0,0,0,0,13173,2,0,0,2566,0,0,0,0,0
3273,KOTA BANDUNG,KOTA,2021,2.0,0,0,0,620,0,0,0,170,0,0,0,0,0
3273,KOTA BANDUNG,KOTA,2024,3.0,0,0,0,2035,2,5,4,515,0,0,0,0,0
3273,KOTA BANDUNG,KOTA,2025,7.0,0,0,0,3865,1,1,0,1275,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2011,1.0,0,0,0,0,0,0,0,469,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2012,1.0,0,0,0,0,0,0,0,300,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2020,6.0,0,0,0,6200,0,0,0,473,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2021,1.0,0,0,0,21,0,0,0,9,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2022,5.0,0,0,0,25054,0,0,0,5158,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2023,1.0,0,0,0,17887,0,0,2,4415,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2024,3.0,0,0,0,1680,0,0,0,197,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2025,8.0,0,0,0,73647,0,0,1,10085,0,0,0,0,0
3274,KOTA CIREBON,KOTA,2026,4.0,0,0,0,16034,0,0,0,4406,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2008,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2011,1.0,0,0,0,0,0,0,10,0,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2012,2.0,0,0,0,0,0,0,0,1406,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2014,2.0,0,0,0,57437,0,0,0,2200,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2016,2.0,0,0,0,4596,0,0,3,300,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2017,7.0,2,0,0,14661,0,2,0,1752,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2018,3.0,0,0,0,1985,0,0,0,380,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2019,4.0,0,0,0,2432,0,0,300,4,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2020,5.7,15,0,0,495049,0,0,0,107932,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2021,8.0,2,0,0,165840,0,0,0,28420,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2022,5.0,0,0,0,12381,0,0,0,2662,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2023,1.0,1,0,0,7253,0,0,0,1522,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2024,4.0,0,0,0,11789,0,0,8973,2013,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2025,2.0,1,0,0,84619,0,0,0,27047,0,0,0,0,0
3275,KOTA BEKASI,KOTA,2026,1.0,1,0,0,985,0,0,0,0,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2009,2.0,0,0,0,0,0,0,11,0,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2011,4.0,0,0,0,0,0,0,50,210,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2013,2.0,0,0,0,0,0,0,0,525,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2014,2.0,0,0,0,0,0,0,0,80,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2020,5.2,4,0,1,6807,0,0,0,2015,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2021,1.0,0,0,0,300,0,0,0,14,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2022,4.0,0,0,0,979,0,0,0,209,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2023,2.0,1,0,14,423,0,0,0,87,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2024,4.0,0,0,0,797,0,0,0,144,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2025,5.0,0,0,4,12878,0,0,0,2778,0,0,0,0,0
3276,KOTA DEPOK,KOTA,2026,3.0,0,0,0,16420,0,0,0,4055,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2013,1.0,0,0,0,500,0,0,0,200,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2016,1.0,0,0,0,75,0,0,20,25,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2018,1.0,0,0,0,420,0,0,0,105,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2020,5.0,2,0,0,1481,3,0,2,537,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2021,4.0,0,0,4,546,0,2,0,324,2,0,0,0,0
3277,KOTA CIMAHI,KOTA,2022,3.0,0,0,0,1947,2,0,2,522,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2023,3.0,0,0,0,1853,1,3,0,435,2,0,0,0,0
3277,KOTA CIMAHI,KOTA,2024,2.0,0,0,0,209,3,6,1,47,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2025,2.0,0,0,0,1645,0,0,0,343,0,0,0,0,0
3277,KOTA CIMAHI,KOTA,2026,1.0,0,0,0,142,0,0,0,42,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2011,2.0,0,0,0,0,0,0,35,100,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2014,4.0,0,0,0,0,1,0,0,118,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2016,2.0,0,0,0,0,0,0,0,53,1,1,0,2,0
3278,KOTA TASIKMALAYA,KOTA,2017,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2018,3.0,0,0,0,10,0,2,0,7,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2019,6.0,0,0,0,19,2,0,0,15,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2021,1.0,0,0,0,4,0,0,1,0,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2022,1.0,0,0,0,11,0,0,0,3,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2023,1.0,0,0,0,216,2,2,6,32,0,0,0,0,0
3278,KOTA TASIKMALAYA,KOTA,2024,1.0,0,0,0,148,0,0,0,0,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2010,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2011,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2012,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2013,1.0,0,0,0,238,0,0,0,64,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2016,2.0,0,0,0,283,0,2,0,182,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2017,1.0,0,0,0,29,0,2,2,0,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2021,1.0,0,0,0,13,0,0,0,5,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2022,1.0,0,0,0,290,0,0,0,58,0,0,0,0,0
3279,KOTA BANJAR,KOTA,2025,1.0,0,0,0,51,0,0,0,10,0,0,0,0,0
