kode_kemendagri,nama_clean,tipe,tahun,jumlah_kejadian_bnpb,Meninggal,Hilang,luka_sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3203,KABUPATEN CIANJUR,KAB,2019,1.0,0,0,0,26,0,0,0,3,0,0,0,0,0
3203,KABUPATEN CIANJUR,KAB,2020,3.0,0,0,0,4851,0,0,1,237,0,0,0,0,8
3203,KABUPATEN CIANJUR,KAB,2021,5.0,0,0,0,535,6,15,0,174,0,1,0,0,0
3203,KABUPATEN CIANJUR,KAB,2022,9.0,0,0,0,4552,1,1,0,999,0,0,0,1,1
3203,KABUPATEN CIANJUR,KAB,2023,5.0,0,0,0,1485,2,3,13,261,3,2,0,0,0
3203,KABUPATEN CIANJUR,KAB,2024,3.0,4,0,1,6586,11,11,22,1474,0,0,0,0,0
3203,KABUPATEN CIANJUR,KAB,2025,5.0,1,0,0,4001,12,2,2,1101,0,0,0,0,1
3203,KABUPATEN CIANJUR,KAB,2026,2.0,2,0,0,91,0,0,0,20,0,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2008,5.0,1,0,3,2598,7,0,70,5843,0,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2009,7.0,0,0,0,7965,0,0,0,2069,0,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2010,65.0,5,0,400,59702,519,0,0,157840,4,22,0,0,0
3204,KABUPATEN BANDUNG,KAB,2011,9.0,0,0,0,37558,0,0,2,8044,0,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2012,5.0,0,0,0,76635,14,15,26,12709,2,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2013,54.0,0,0,0,167679,40,74,171,47234,0,0,0,0,0
