kode_kemendagri,nama_clean,tipe,tahun,jumlah_banjir
3209,KABUPATEN CIREBON,KAB,2021,9
3209,KABUPATEN CIREBON,KAB,2022,13
3209,KABUPATEN CIREBON,KAB,2023,11
3209,KABUPATEN CIREBON,KAB,2024,18
3209,KABUPATEN CIREBON,KAB,2025,17
3210,KABUPATEN MAJALENGKA,KAB,2012,0
3210,KABUPATEN MAJALENGKA,KAB,2013,4
3210,KABUPATEN MAJALENGKA,KAB,2014,4
3210,KABUPATEN MAJALENGKA,KAB,2015,3
3210,KABUPATEN MAJALENGKA,KAB,2016,6
3210,KABUPATEN MAJALENGKA,KAB,2017,8
3210,KABUPATEN MAJALENGKA,KAB,2018,5
3210,KABUPATEN MAJALENGKA,KAB,2019,2
3210,KABUPATEN MAJALENGKA,KAB,2020,13
3210,KABUPATEN MAJALENGKA,KAB,2021,9
3210,KABUPATEN MAJALENGKA,KAB,2022,6
3210,KABUPATEN MAJALENGKA,KAB,2023,7
3210,KABUPATEN MAJALENGKA,KAB,2024,5
3210,KABUPATEN MAJALENGKA,KAB,2025,7
3211,KABUPATEN SUMEDANG,KAB,2012,0
3211,KABUPATEN SUMEDANG,KAB,2013,1
3211,KABUPATEN SUMEDANG,KAB,2014,1
3211,KABUPATEN SUMEDANG,KAB,2015,3
3211,KABUPATEN SUMEDANG,KAB,2016,13
3211,KABUPATEN SUMEDANG,KAB,2017,8
3211,KABUPATEN SUMEDANG,KAB,2018,5
3211,KABUPATEN SUMEDANG,KAB,2019,16
3211,KABUPATEN SUMEDANG,KAB,2020,21
3211,KABUPATEN SUMEDANG,KAB,2021,14
3211,KABUPATEN SUMEDANG,KAB,2022,10
3211,KABUPATEN SUMEDANG,KAB,2023,4
3211,KABUPATEN SUMEDANG,KAB,2024,7
3211,KABUPATEN SUMEDANG,KAB,2025,5
3212,KABUPATEN INDRAMAYU,KAB,2012,10
3212,KABUPATEN INDRAMAYU,KAB,2013,5
3212,KABUPATEN INDRAMAYU,KAB,2014,1
3212,KABUPATEN INDRAMAYU,KAB,2015,1
3212,KABUPATEN INDRAMAYU,KAB,2016,4
3212,KABUPATEN INDRAMAYU,KAB,2017,3
3212,KABUPATEN INDRAMAYU,KAB,2018,2
3212,KABUPATEN INDRAMAYU,KAB,2019,2
3212,KABUPATEN INDRAMAYU,KAB,2020,5
3212,KABUPATEN INDRAMAYU,KAB,2021,10
3212,KABUPATEN INDRAMAYU,KAB,2022,1
3212,KABUPATEN INDRAMAYU,KAB,2023,2
3212,KABUPATEN INDRAMAYU,KAB,2024,7
3212,KABUPATEN INDRAMAYU,KAB,2025,9
3213,KABUPATEN SUBANG,KAB,2012,4
