kode_kemendagri,nama_clean,nama_singkat,tipe,lat,lon,bps_kode,tahun,jumlah_banjir,total_hujan_tahunan_mm,rain_sum_mm,precipitation_hours_total,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,avg_kelembaban_tanah,rain_intensity_mm_per_hour_avg,jumlah_kejadian_bnpb,korban_meninggal,korban_hilang,korban_luka,pengungsi,rusak_berat,rusak_sedang,rusak_ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak,satuan,jumlah_sampah_ton_per_hari,is_sampah_missing,rasio_banjir_per_hujan,kategori_hujan,rank_banjir_di_wilayah,total_terdampak
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2023,29.0,1882.6,1882.6,2239.0,322.0,1.0,55.7,49.7,4.131328917050691,0.3840419728195938,0.643582236644603,24.0,0.0,0.0,0.0,6981.0,5.0,24.0,79.0,3687.0,2.0,2.0,0.0,0.0,2.0,TON PER HARI,358.0,False,0.015404228195049401,Sedang (1500-2500mm),4.0,6981.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2024,29.0,2375.8,2375.8,2464.0,326.0,0.0,42.9,55.1,4.012627023853665,0.4057528957071643,0.8106212211289616,18.0,1.0,0.0,7.0,10006.0,2.0,3.0,39.0,2312.0,0.0,0.0,0.0,0.0,0.0,,,True,0.012206414681370485,Sedang (1500-2500mm),4.0,10014.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2025,31.0,2727.1,2727.1,2737.0,345.0,2.0,64.6,49.3,3.802819764464926,0.3495219192694999,0.8653670870021043,29.0,2.0,0.0,5.0,45532.0,41.0,44.0,76.0,11282.0,0.0,0.0,0.0,0.0,10.0,,,True,0.011367386601151407,Tinggi (2500-4000mm),3.0,45539.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2026,,,,,,,,,,,,17.0,0.0,0.0,1.0,11919.0,10.0,15.0,23.0,3074.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,11920.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2009,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,0.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2010,,,,,,,,,,,,6.5,2.0,0.0,0.0,600.0,6.0,0.0,53.0,87.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,602.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2011,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,2.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2012,20.0,2761.2,2761.2,3066.0,306.0,1.0,54.1,67.3,3.580205969595847,0.4201339631483541,0.715078775260849,5.0,0.0,0.0,0.0,0.0,36.0,14.0,36.0,42.0,1.0,1.0,0.0,0.0,0.0,,,True,0.0072432275822106335,Tinggi (2500-4000mm),5.0,0.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2013,17.0,3618.0,3618.0,3583.0,343.0,3.0,165.2,60.1,3.3854783026113675,0.4520405327274279,0.8631272975360499,4.0,2.0,0.0,1.0,1453.0,23.0,22.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0046987285793255945,Tinggi (2500-4000mm),7.0,1456.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2014,5.0,2863.1,2863.1,3213.0,338.0,1.0,93.1,47.2,3.50925582437276,0.4447325420826933,0.7398519114479113,8.0,1.0,5.0,1.0,1067.0,43.0,30.0,0.0,641.0,0.0,2.0,0.0,0.0,0.0,,,True,0.0017463588418148161,Tinggi (2500-4000mm),12.0,1074.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2015,6.0,2687.3,2687.3,2807.0,297.0,4.0,97.7,48.6,3.768218125960061,0.3994770774662912,0.7043880263822558,5.0,0.0,0.0,1.0,1167.0,43.0,0.0,6.0,108.0,3.0,5.0,0.0,0.0,0.0,TON PER HARI,205690.23,False,0.0022327242957615448,Tinggi (2500-4000mm),11.0,1168.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2016,19.0,4169.8,4169.8,3973.0,355.0,3.0,76.9,50.8,3.2521005129155856,0.4695748888940387,0.9622809577400704,8.0,1.0,1.0,4.0,2983.0,167.0,510.0,1622.0,1148.0,2.0,0.0,0.0,0.0,0.0,TON PER HARI,207785.29,False,0.004556573456760516,Sangat Tinggi (>4000mm),6.0,2989.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2017,19.0,2666.1,2666.1,3383.0,355.0,2.0,80.0,77.0,3.222966013824885,0.4607363519265233,0.6521387361770826,6.0,1.0,0.0,1.0,483.0,6.0,12.0,41.0,68.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,209863.15,False,0.007126514384306665,Tinggi (2500-4000mm),6.0,485.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2018,3.0,2731.4,2731.4,3173.0,335.0,4.0,92.7,65.2,3.412639656938044,0.4504762576804915,0.6711004050079793,,,,,,,,,,,,,,,TON PER HARI,206.21,False,0.001098337848722267,Tinggi (2500-4000mm),13.0,0.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2019,10.0,2450.5,2450.5,3065.0,323.0,1.0,78.2,54.4,3.767091845878136,0.4132978155935313,0.6077762571497554,5.0,0.0,0.0,0.0,191.0,9.0,5.0,20.0,33.0,0.0,0.0,0.0,0.0,4.0,TON PER HARI,732.66,False,0.004080799836768007,Sedang (1500-2500mm),9.0,191.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2020,13.0,4264.8,4264.8,4116.0,357.0,9.0,144.8,64.1,3.252928253615128,0.4811881544051004,0.8849063022593358,7.0,3.0,0.0,20.0,1942.0,88.0,37.0,207.0,453.0,0.0,1.0,0.0,0.0,10.0,TON PER HARI,734.32,False,0.0030482085912586754,Sangat Tinggi (>4000mm),8.0,1965.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2021,27.0,3331.7,3331.7,3771.0,352.0,6.0,104.6,57.2,3.358589605734767,0.4755026076335552,0.7656856539983344,17.0,0.0,0.0,4.0,513.0,5.0,3.0,0.0,217.0,3.0,1.0,0.0,0.0,2.0,TON PER HARI,261.2,False,0.008103970945763424,Tinggi (2500-4000mm),2.0,517.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2022,30.0,3393.0,3393.0,3461.0,355.0,4.0,115.5,50.0,3.323588773681516,0.4766102177206008,0.8598942780041939,18.0,0.0,0.0,0.0,2762.0,21.0,21.0,71.0,676.0,0.0,1.0,0.0,0.0,0.0,TON PER HARI,351.54,False,0.008841732979664015,Tinggi (2500-4000mm),1.0,2762.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2023,7.0,2151.9,2151.9,2998.0,325.0,2.0,62.1,49.3,3.711907514080901,0.4285696945937873,0.5845237435514171,3.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,35.0,False,0.003252939262976904,Sedang (1500-2500mm),10.0,180.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2024,24.0,3302.8,3302.8,3369.0,342.0,4.0,78.6,48.2,3.6017741008527997,0.4535075973046183,0.8302603245117991,9.0,2.0,0.0,10352.0,25621.0,215.0,353.0,459.0,1464.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0072665617052198135,Tinggi (2500-4000mm),3.0,35975.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2025,23.0,3364.3,3364.3,3582.0,352.0,2.0,52.7,60.5,3.487664298515105,0.4531215827146271,0.8314154693332264,9.0,2.0,0.0,1.0,8583.0,202.0,693.0,732.0,1205.0,0.0,13.0,1.0,0.0,5.0,,,True,0.006836489017031775,Tinggi (2500-4000mm),4.0,8586.0
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202,2026,,,,,,,,,,,,3.0,0.0,0.0,0.0,260.0,0.0,2.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,260.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2008,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,0.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2009,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,0.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2010,,,,,,,,,,,,12.0,0.0,0.0,0.0,1898.0,13.0,0.0,9.0,1066.0,1.0,0.0,0.0,0.0,0.0,,,True,,,,1898.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2011,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,120.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,0.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2012,1.0,2326.6,2326.6,2626.0,284.0,1.0,51.1,58.7,3.641108113953776,0.3319875605096197,0.7064189847883382,6.0,3.0,1.0,0.0,120.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,,,True,0.00042981174245680393,Sedang (1500-2500mm),10.0,124.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2013,21.0,2912.7,2912.7,3222.0,323.0,3.0,194.7,52.6,3.3979975038402457,0.368391990687404,0.7670636080131296,1.0,2.0,2.0,4.0,1305.0,64.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0072098053352559486,Tinggi (2500-4000mm),1.0,1313.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2014,2.0,2419.7,2419.7,2811.0,314.0,2.0,111.9,43.2,3.544256080389145,0.3517854812041304,0.6960069135783202,3.0,0.0,0.0,0.0,6.0,3.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0008265487457122785,Sedang (1500-2500mm),9.0,6.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2015,3.0,2048.9,2048.9,2293.0,252.0,0.0,37.8,49.0,3.852766641065028,0.3035865575396825,0.6610683848773654,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,355554.29,False,0.001464200302601396,Sedang (1500-2500mm),8.0,4.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2016,7.0,3282.9,3282.9,3515.0,351.0,2.0,88.5,47.2,3.2507903534791747,0.3947902504840769,0.8401371278456167,5.0,2.0,0.0,0.0,1518.0,315.0,0.0,63.0,44.0,5.0,11.0,0.0,0.0,0.0,TON PER HARI,360461.34,False,0.00213226111060343,Tinggi (2500-4000mm),5.0,1520.0
